Datetime (UTC),Temperature (deg C),Pressure (hPa)
20240212_043612,27.06,1007.24
20240212_043615,27.12,1005.75
20240212_043618,27.13,1002.65
20240212_043621,27.38,1003.52
20240212_043624,27.15,1009.04
20240212_043627,27.20,1010.00
20240212_043630,27.27,1000.33
20240212_043633,27.03,1001.06
20240212_043636,27.06,1002.53
20240212_043639,27.36,1014.06
20240212_043642,27.29,1007.89
20240212_043645,27.09,1010.14
20240212_043648,27.11,1007.50
20240212_043651,27.37,1004.42
20240212_043654,27.22,1010.20
20240212_043657,27.23,1003.64
20240212_043700,27.22,1009.52
20240212_043703,27.16,1012.49
20240212_043706,27.28,1014.53
20240212_043709,27.24,1004.26
20240212_043712,27.24,1013.11
20240212_043715,27.09,1009.65
20240212_043718,27.34,1010.59
20240212_043721,27.23,1002.34
20240212_043724,27.29,1013.16
20240212_043727,27.31,1002.11
20240212_043730,27.30,1012.34
20240212_043733,27.43,1003.16
20240212_043736,27.24,1012.40
20240212_043739,27.34,1009.65
20240212_043742,27.21,1010.21
20240212_043745,27.20,1013.49
20240212_043748,27.19,1005.04
20240212_043751,27.18,1011.37
20240212_043754,27.02,1001.98
20240212_043757,27.24,1006.87
20240212_043800,27.22,1007.60
20240212_043803,27.18,1006.22
20240212_043806,27.17,1000.01
20240212_043809,27.31,1001.54
20240212_043812,27.45,1006.96
20240212_043815,27.11,1001.01
20240212_043818,27.15,1007.89
20240212_043821,27.30,1011.22
20240212_043824,27.19,1008.12
20240212_043828,27.03,1009.17
20240212_043831,27.34,1005.76
20240212_043834,27.13,1013.36
20240212_043837,27.28,1016.23
20240212_043840,27.21,999.50
20240212_043843,27.20,1009.62
20240212_043846,27.35,1010.56
20240212_043849,27.33,1001.69
20240212_043852,27.09,1008.45
20240212_043855,27.20,1009.25
20240212_043858,27.16,1005.00
20240212_043901,27.19,1009.92
20240212_043904,27.37,1005.60
20240212_043907,27.32,1013.91
20240212_043910,27.16,1011.99
20240212_043913,27.10,1000.83
20240212_043916,27.21,1010.38
20240212_043919,27.20,1007.99
20240212_043922,27.35,1007.61
20240212_043925,27.37,1009.00
20240212_043928,27.25,1004.67
20240212_043931,27.27,1004.73
20240212_043934,27.24,1007.47
20240212_043937,27.15,1015.72
20240212_043940,27.15,1011.33
20240212_043943,27.16,1005.33
20240212_043946,27.26,1013.75
20240212_043949,27.38,1012.97
20240212_043952,27.34,1003.40
20240212_043955,27.38,1007.87
20240212_043958,27.25,1004.15
20240212_044001,27.30,1005.42
20240212_044004,27.34,1004.67
20240212_044007,27.32,1010.34
20240212_044010,27.19,1021.77
20240212_044013,27.30,1003.26
20240212_044016,27.28,996.18
20240212_044019,27.49,1003.12
20240212_044022,27.16,1002.77
20240212_044025,27.17,1013.08
20240212_044028,27.48,1007.08
20240212_044031,27.18,1009.66
20240212_044034,27.24,996.53
20240212_044037,27.25,1002.89
20240212_044040,27.39,1002.80
20240212_044043,27.27,1005.46
20240212_044046,27.31,1019.06
20240212_044049,27.21,1012.45
20240212_044052,27.23,1006.40
20240212_044055,27.15,1004.85
20240212_044058,27.35,1003.83
20240212_044101,27.63,1011.99
20240212_044104,27.35,1013.75
20240212_044107,27.48,1003.37
20240212_044110,27.33,1002.40
20240212_044113,27.29,1003.88
20240212_044116,27.33,1006.99
20240212_044119,27.20,1008.22
20240212_044122,27.55,1017.11
20240212_044125,27.44,1007.89
20240212_044128,27.31,1006.47
20240212_044131,27.42,1020.05
20240212_044134,27.45,1010.56
20240212_044137,27.33,1006.59
20240212_044140,27.29,1006.04
20240212_044143,27.26,1016.15
20240212_044146,27.40,1006.85
20240212_044149,27.40,1003.23
20240212_044152,27.28,1007.35
20240212_044155,27.27,1002.94
20240212_044158,27.26,1007.69
20240212_044201,27.26,1010.60
20240212_044204,27.16,1013.66
20240212_044207,27.24,1009.43
20240212_044210,27.27,1014.93
20240212_044213,27.26,1016.14
20240212_044216,27.34,1007.17
20240212_044219,27.24,1006.63
20240212_044222,27.33,1013.42
20240212_044225,27.48,1008.56
20240212_044228,27.51,1006.63
20240212_044231,27.43,1008.06
20240212_044234,27.22,1011.63
20240212_044237,27.30,1012.66
20240212_044240,27.46,1007.32
20240212_044243,27.22,1005.49
20240212_044246,27.43,1005.09
20240212_044249,27.31,1011.21
20240212_044252,27.44,1013.26
20240212_044255,27.54,1011.48
20240212_044258,27.34,1010.53
20240212_044301,27.48,1001.95
20240212_044304,27.20,1007.26
20240212_044307,27.45,1004.54
20240212_044310,27.24,1004.41
20240212_044313,27.28,1001.64
20240212_044316,27.29,1002.14
20240212_044319,27.23,1011.48
20240212_044322,27.48,1011.49
20240212_044325,27.58,1004.70
20240212_044328,27.41,1013.97
20240212_044331,27.14,1001.55
20240212_044334,27.34,1001.52
20240212_044337,27.45,1005.81
20240212_044340,27.40,1009.70
20240212_044343,27.28,1011.37
20240212_044346,27.54,1015.77
20240212_044349,27.25,1011.12
20240212_044352,27.29,1010.13
20240212_044355,27.27,1003.70
20240212_044358,27.54,1009.70
20240212_044401,27.48,1003.79
20240212_044404,27.25,1010.53
20240212_044407,27.42,1007.27
20240212_044410,27.50,1008.52
20240212_044413,27.02,1012.03
20240212_044416,27.41,1008.37
20240212_044419,27.47,1004.85
20240212_044422,27.34,996.05
20240212_044425,27.46,1007.65
20240212_044428,27.47,1010.96
20240212_044431,27.32,1016.20
20240212_044434,27.36,1013.01
20240212_044437,27.39,1009.70
20240212_044440,27.35,1008.74
20240212_044443,27.34,1010.36
20240212_044446,27.23,1012.45
20240212_044449,27.54,1002.66
20240212_044452,27.40,1006.99
20240212_044455,27.28,1004.99
20240212_044458,27.32,1006.20
20240212_044501,27.39,1011.52
20240212_044504,27.42,1012.81
20240212_044507,27.40,1007.13
20240212_044510,27.35,1010.20
20240212_044513,27.24,1004.31
20240212_044516,27.40,1004.54
20240212_044519,27.22,996.88
20240212_044522,27.33,1005.77
20240212_044525,27.32,1010.80
20240212_044528,27.36,1019.81
20240212_044531,27.36,1004.38
20240212_044534,27.31,1004.18
20240212_044537,27.53,1007.86
20240212_044540,27.35,1013.27
20240212_044543,27.36,1011.90
20240212_044546,27.52,1013.22
20240212_044549,27.41,1013.98
20240212_044552,27.28,1003.38
20240212_044555,27.41,1007.40
20240212_044558,27.29,1008.65
20240212_044601,27.56,1008.90
20240212_044604,27.43,1013.03
20240212_044607,27.56,1011.02
20240212_044610,27.41,1010.28
20240212_044613,27.38,1007.07
20240212_044616,27.40,1004.14
20240212_044619,27.53,1004.05
20240212_044622,27.41,1005.85
20240212_044625,27.24,1010.33
20240212_044628,27.32,1008.60
20240212_044631,27.43,1013.04
20240212_044634,27.40,1015.70
20240212_044637,27.27,1004.02
20240212_044640,27.45,1007.28
20240212_044643,27.45,1008.40
20240212_044646,27.27,1018.45
20240212_044649,27.41,1009.30
20240212_044652,27.15,1011.51
20240212_044655,27.52,1014.51
20240212_044658,27.38,1005.19
20240212_044701,27.47,1009.92
20240212_044704,27.61,1013.09
20240212_044707,27.33,1014.61
20240212_044710,27.52,1002.65
20240212_044713,27.27,999.25
20240212_044716,27.42,1011.82
20240212_044719,27.30,1003.91
20240212_044722,27.25,1004.06
20240212_044725,27.38,1002.94
20240212_044728,27.40,1006.43
20240212_044731,27.44,1012.28
20240212_044734,27.46,1011.89
20240212_044737,27.36,1003.98
20240212_044740,27.52,1000.20
20240212_044743,27.34,1012.09
20240212_044746,27.46,999.01
20240212_044749,27.30,1012.39
20240212_044752,27.31,1007.75
20240212_044755,27.25,1015.30
20240212_044758,27.17,1011.93
20240212_044801,27.29,1001.04
20240212_044804,27.49,1005.63
20240212_044807,27.55,1017.47
20240212_044810,27.46,1011.05
20240212_044813,27.46,1012.96
20240212_044816,27.39,1011.27
20240212_044819,27.26,1002.01
20240212_044822,27.30,1005.86
20240212_044825,27.57,1012.08
20240212_044828,27.49,1007.30
20240212_044831,27.38,1009.30
20240212_044834,27.56,1011.46
20240212_044837,27.47,1003.12
20240212_044840,27.45,1001.07
20240212_044843,27.31,1019.47
20240212_044846,27.52,1005.06
20240212_044849,27.50,1023.56
20240212_044852,27.32,1010.76
20240212_044855,27.37,1011.78
20240212_044858,27.20,1011.43
20240212_044901,27.27,1009.91
20240212_044904,27.22,1018.72
20240212_044907,27.33,1006.79
20240212_044910,27.48,1008.40
20240212_044913,27.28,999.07
20240212_044916,27.57,1010.53
20240212_044919,27.42,1007.94
20240212_044922,27.40,1000.23
20240212_044925,27.43,1015.27
20240212_044928,27.45,1003.71
20240212_044931,27.37,1008.11
20240212_044934,27.46,1000.20
20240212_044937,27.25,1000.53
20240212_044940,27.40,1005.54
20240212_044943,27.35,1002.01
20240212_044946,27.43,1004.80
20240212_044949,27.33,1019.65
20240212_044952,27.35,1004.34
20240212_044955,27.40,1006.63
20240212_044958,27.59,1009.05
20240212_045001,27.44,1011.43
20240212_045004,27.54,1009.38
20240212_045007,27.37,1005.77
20240212_045010,27.24,1014.87
20240212_045013,27.38,1010.38
20240212_045016,27.22,1000.73
20240212_045019,27.41,1001.28
20240212_045022,27.45,999.41
20240212_045025,27.65,1004.45
20240212_045028,27.56,1013.11
20240212_045031,27.63,1001.91
20240212_045034,27.58,1006.45
20240212_045037,27.41,1008.18
20240212_045040,27.44,1002.92
20240212_045043,27.58,1005.25
20240212_045046,27.45,1013.77
20240212_045049,27.34,1010.18
20240212_045052,27.37,1007.80
20240212_045055,27.43,1005.98
20240212_045058,27.45,1008.12
20240212_045101,27.47,1004.96
20240212_045104,27.43,1004.45
20240212_045107,27.51,1012.79
20240212_045110,27.43,1004.70
20240212_045113,27.50,1014.87
20240212_045116,27.59,1006.70
20240212_045119,27.40,1002.77
20240212_045122,27.41,1008.82
20240212_045125,27.34,996.19
20240212_045128,27.58,1006.61
20240212_045131,27.47,1009.72
20240212_045134,27.51,1003.49
20240212_045137,27.30,1005.65
20240212_045140,27.49,1009.89
20240212_045143,27.49,1009.49
20240212_045146,27.49,1015.44
20240212_045149,27.54,1006.12
20240212_045152,27.37,1014.46
20240212_045155,27.55,1006.52
20240212_045158,27.67,1003.91
20240212_045201,27.52,1012.92
20240212_045204,27.34,1007.17
20240212_045207,27.42,1005.56
20240212_045210,27.45,1007.31
20240212_045213,27.56,1002.69
20240212_045216,27.38,1001.21
20240212_045219,27.35,1009.12
20240212_045222,27.41,1006.79
20240212_045225,27.50,1008.47
20240212_045228,27.43,1006.04
20240212_045231,27.56,1014.67
20240212_045234,27.42,1011.25
20240212_045237,27.62,1006.82
20240212_045240,27.52,1009.71
20240212_045243,27.50,1005.65
20240212_045247,27.31,1016.64
20240212_045250,27.37,1010.45
20240212_045253,27.60,1005.63
20240212_045256,27.45,1010.70
20240212_045259,27.40,1005.68
20240212_045302,27.47,1009.89
20240212_045305,27.50,1008.10
20240212_045308,27.35,1013.10
20240212_045311,27.43,1008.22
20240212_045314,27.56,1014.86
20240212_045317,27.47,1012.83
20240212_045320,27.48,1005.64
20240212_045323,27.65,1006.57
20240212_045326,27.36,1004.17
20240212_045329,27.45,1017.77
20240212_045332,27.61,1006.39
20240212_045335,27.28,1007.33
20240212_045338,27.46,1012.63
20240212_045341,27.30,1004.69
20240212_045344,27.41,1003.34
20240212_045347,27.56,1007.56
20240212_045350,27.43,1004.62
20240212_045353,27.54,1011.12
20240212_045356,27.64,1011.03
20240212_045359,27.40,1004.15
20240212_045402,27.63,1004.48
20240212_045405,27.26,989.65
20240212_045408,27.55,1015.59
20240212_045411,27.38,1007.23
20240212_045414,27.21,1011.12
20240212_045417,27.39,1016.71
20240212_045420,27.45,1023.55
20240212_045423,27.63,1007.48
20240212_045426,27.49,1004.35
20240212_045429,27.65,1008.80
20240212_045432,27.52,1008.55
20240212_045435,27.41,1018.16
20240212_045438,27.42,1007.87
20240212_045441,27.44,1007.08
20240212_045444,27.45,1002.09
20240212_045447,27.40,1008.99
20240212_045450,27.36,1005.88
20240212_045453,27.56,1003.94
20240212_045456,27.56,1011.18
20240212_045459,27.34,1000.37
20240212_045502,27.60,1008.62
20240212_045505,27.50,1005.52
20240212_045508,27.50,1011.67
20240212_045511,27.44,1007.59
20240212_045514,27.67,1007.35
20240212_045517,27.38,1010.67
20240212_045520,27.61,1005.23
20240212_045523,27.49,1003.97
20240212_045526,27.46,1004.87
20240212_045529,27.35,1009.98
20240212_045532,27.39,1009.04
20240212_045535,27.36,1011.05
20240212_045538,27.46,1008.15
20240212_045541,27.65,1006.57
20240212_045544,27.54,1012.43
20240212_045547,27.55,1017.54
20240212_045550,27.65,1013.16
20240212_045553,27.51,999.11
20240212_045556,27.49,1005.96
20240212_045559,27.70,1008.54
20240212_045602,27.58,1002.36
20240212_045605,27.44,1008.31
20240212_045608,27.52,1005.58
20240212_045611,27.57,1007.00
20240212_045614,27.42,1013.47
20240212_045617,27.36,1006.58
20240212_045620,27.36,1002.59
20240212_045623,27.40,1005.76
20240212_045626,27.66,1008.65
20240212_045629,27.46,1008.82
20240212_045632,27.38,1001.10
20240212_045635,27.76,1005.03
20240212_045638,27.42,1009.69
20240212_045641,27.47,1004.57
20240212_045644,27.65,1004.36
20240212_045647,27.52,1009.87
20240212_045650,27.51,1013.39
20240212_045653,27.46,1008.44
20240212_045656,27.65,1006.66
20240212_045659,27.54,1007.42
20240212_045702,27.40,1008.97
20240212_045705,27.57,1010.01
20240212_045708,27.60,1007.17
20240212_045711,27.53,1009.99
20240212_045714,27.51,1017.55
20240212_045717,27.47,1015.96
20240212_045720,27.47,1006.06
20240212_045723,27.61,1014.28
20240212_045726,27.39,1004.54
20240212_045729,27.50,1015.05
20240212_045732,27.54,1002.52
20240212_045735,27.49,1014.33
20240212_045738,27.51,1002.35
20240212_045741,27.53,1013.98
20240212_045744,27.57,1004.33
20240212_045747,27.57,1006.96
20240212_045750,27.52,1010.12
20240212_045753,27.60,1014.24
20240212_045756,27.70,1015.20
20240212_045759,27.49,999.80
20240212_045802,27.75,1004.97
20240212_045805,27.59,1003.79
20240212_045808,27.72,1004.17
20240212_045811,27.55,1013.64
20240212_045814,27.62,999.28
20240212_045817,27.31,1006.83
20240212_045820,27.54,1010.49
20240212_045823,27.39,1010.75
20240212_045826,27.53,1009.29
20240212_045829,27.53,1007.63
20240212_045832,27.42,994.05
20240212_045835,27.63,1010.18
20240212_045838,27.59,1011.58
20240212_045841,27.54,1013.96
20240212_045844,27.48,1014.01
20240212_045847,27.40,1001.51
20240212_045850,27.58,1005.75
20240212_045853,27.66,1003.60
20240212_045856,27.75,1012.29
20240212_045859,27.63,1011.75
20240212_045902,27.69,997.36
20240212_045905,27.57,1002.38
20240212_045908,27.55,1009.61
20240212_045911,27.63,1010.52
20240212_045914,27.71,1012.18
20240212_045917,27.54,1000.91
20240212_045920,27.52,1013.60
20240212_045923,27.33,1006.24
20240212_045926,27.71,1008.42
20240212_045929,27.66,1011.31
20240212_045932,27.53,1012.83
20240212_045935,27.57,1007.18
20240212_045938,27.64,999.04
20240212_045941,27.44,1009.39
20240212_045944,27.71,1008.81
20240212_045947,27.54,1019.36
20240212_045950,27.63,1009.11
20240212_045953,27.68,1011.92
20240212_045956,27.57,1011.90
20240212_045959,27.61,1014.27
20240212_050002,27.44,1011.32
20240212_050005,27.65,994.93
20240212_050008,27.43,1013.70
20240212_050011,27.70,1016.71
20240212_050014,27.56,1007.29
20240212_050017,27.57,1000.27
20240212_050020,27.51,1006.34
20240212_050023,27.40,1007.67
20240212_050026,27.52,1004.06
20240212_050029,27.58,1010.66
20240212_050032,27.34,999.41
20240212_050035,27.39,1002.92
20240212_050038,27.40,999.88
20240212_050041,27.61,1006.00
20240212_050044,27.61,1007.11
20240212_050047,27.69,1005.60
20240212_050050,27.65,1001.54
20240212_050053,27.45,1013.62
20240212_050056,27.56,1015.98
20240212_050059,27.62,1009.87
20240212_050102,27.62,1003.42
20240212_050105,27.68,1005.21
20240212_050108,27.65,1009.52
20240212_050111,27.73,1003.25
20240212_050114,27.51,1008.26
20240212_050117,27.43,1008.07
20240212_050120,27.46,1005.03
20240212_050123,27.55,1002.00
20240212_050126,27.77,1007.05
20240212_050129,27.59,1001.20
20240212_050132,27.71,999.70
20240212_050135,27.67,1011.79
20240212_050138,27.66,1009.35
20240212_050141,27.85,1013.34
20240212_050144,27.84,1007.41
20240212_050147,27.62,1011.51
20240212_050150,27.67,1016.12
20240212_050153,27.58,1003.47
20240212_050156,27.52,1009.94
20240212_050159,27.57,1013.69
20240212_050202,27.48,1011.37
20240212_050205,27.70,1001.29
20240212_050208,27.50,1005.88
20240212_050211,27.64,1006.75
20240212_050214,27.65,1008.35
20240212_050217,27.62,1012.93
20240212_050220,27.62,1010.42
20240212_050223,27.54,1006.08
20240212_050226,27.48,1008.45
20240212_050229,27.48,1010.59
20240212_050232,27.74,1011.82
20240212_050235,27.50,1006.28
20240212_050238,27.55,1004.61
20240212_050241,27.61,999.48
20240212_050244,27.70,1016.18
20240212_050247,27.64,1007.19
20240212_050250,27.53,1013.14
20240212_050253,27.77,1002.31
20240212_050256,27.61,1005.59
20240212_050259,27.69,1007.19
20240212_050302,27.63,1005.32
20240212_050305,27.58,1018.35
20240212_050308,27.65,1005.62
20240212_050311,27.71,1004.60
20240212_050314,27.66,1011.12
20240212_050317,27.56,1006.17
20240212_050320,27.71,1009.30
20240212_050323,27.61,1004.12
20240212_050326,27.56,1008.12
20240212_050329,27.67,1002.79
20240212_050332,27.71,1016.48
20240212_050335,27.53,1007.82
20240212_050338,27.66,1018.17
20240212_050341,27.75,1002.08
20240212_050344,27.73,1008.65
20240212_050347,27.52,1011.03
20240212_050350,27.75,1000.13
20240212_050353,27.54,1003.59
20240212_050356,27.51,1017.78
20240212_050359,27.39,1004.51
20240212_050402,27.79,1015.00
20240212_050405,27.71,1006.89
20240212_050408,27.55,1003.43
20240212_050411,27.64,1012.30
20240212_050414,27.60,1010.67
20240212_050417,27.64,1012.39
20240212_050420,27.73,1006.47
20240212_050423,27.50,1003.80
20240212_050426,27.60,1004.13
20240212_050429,27.63,1009.71
20240212_050432,27.70,1007.60
20240212_050435,27.67,1009.74
20240212_050438,27.60,1011.01
20240212_050441,27.59,1004.21
20240212_050444,27.55,1008.11
20240212_050447,27.62,1001.17
20240212_050450,27.60,1004.15
20240212_050453,27.71,1006.90
20240212_050456,27.64,1006.76
20240212_050459,27.57,1004.85
20240212_050502,27.75,1005.91
20240212_050505,27.51,1000.39
20240212_050508,27.47,1007.61
20240212_050511,27.71,1014.35
20240212_050514,27.40,1013.31
20240212_050517,27.81,1010.91
20240212_050520,27.54,1011.66
20240212_050523,27.68,1011.78
20240212_050526,27.67,1012.07
20240212_050529,27.76,1002.79
20240212_050532,27.66,998.53
20240212_050535,27.70,1009.03
20240212_050538,27.59,1006.61
20240212_050541,27.45,1004.66
20240212_050544,27.60,1006.14
20240212_050547,27.91,1005.27
20240212_050550,27.74,1007.72
20240212_050553,27.57,1002.90
20240212_050556,27.74,1011.52
20240212_050559,27.58,1005.29
20240212_050602,27.65,1006.11
20240212_050605,27.75,1001.23
20240212_050608,27.64,1011.63
20240212_050611,27.77,1016.25
20240212_050614,27.61,1017.23
20240212_050617,27.83,1008.91
20240212_050620,27.67,1017.48
20240212_050623,27.67,1013.77
20240212_050626,27.50,999.59
20240212_050629,27.74,1007.84
20240212_050632,27.57,1010.32
20240212_050635,27.60,1005.91
20240212_050638,27.54,1011.68
20240212_050641,27.57,1002.94
20240212_050644,27.55,1005.82
20240212_050647,27.58,1005.58
20240212_050650,27.69,1004.25
20240212_050653,27.65,1005.15
20240212_050656,27.40,1006.18
20240212_050659,27.70,1005.23
20240212_050702,27.75,999.97
20240212_050705,27.71,1018.35
20240212_050708,27.67,1005.57
20240212_050711,27.82,1020.75
20240212_050714,27.64,1013.46
20240212_050717,27.58,1015.41
20240212_050720,27.62,1002.53
20240212_050723,27.71,1002.29
20240212_050726,27.70,1010.32
20240212_050729,27.81,1007.04
20240212_050732,27.57,1013.66
20240212_050735,27.74,994.83
20240212_050738,27.66,1007.53
20240212_050741,27.56,1012.50
20240212_050744,27.61,1010.29
20240212_050747,27.64,1004.61
20240212_050750,27.51,1002.70
20240212_050753,27.69,1002.88
20240212_050756,27.63,1012.29
20240212_050759,27.73,1009.21
20240212_050802,27.51,1005.60
20240212_050805,27.67,1004.68
20240212_050808,27.56,1007.00
20240212_050811,27.50,1007.84
20240212_050815,27.72,1009.44
20240212_050818,27.59,999.69
20240212_050821,27.81,995.94
20240212_050824,27.90,999.94
20240212_050827,27.69,1007.70
20240212_050830,27.59,1004.57
20240212_050833,27.88,1016.57
20240212_050836,27.67,1007.13
20240212_050839,27.59,1006.66
20240212_050842,27.67,1015.20
20240212_050845,27.77,1004.18
20240212_050848,27.58,1019.27
20240212_050851,27.56,1017.77
20240212_050854,27.61,1007.88
20240212_050857,27.51,1007.85
20240212_050900,27.72,1004.14
20240212_050903,27.64,1004.53
20240212_050906,27.86,1008.15
20240212_050909,27.60,1010.24
20240212_050912,27.60,1002.20
20240212_050915,27.57,999.34
20240212_050918,27.83,1010.72
20240212_050921,27.79,1013.55
20240212_050924,27.84,1004.63
20240212_050927,27.81,996.94
20240212_050930,27.81,1007.41
20240212_050933,27.74,1015.87
20240212_050936,27.83,1014.68
20240212_050939,27.65,1008.92
20240212_050942,27.83,1015.61
20240212_050945,27.66,1010.15
20240212_050948,27.75,1015.86
20240212_050951,27.70,1012.04
20240212_050954,27.86,1006.97
20240212_050957,27.57,1008.46
20240212_051000,27.67,1006.33
20240212_051003,27.74,1005.72
20240212_051006,27.82,1006.36
20240212_051009,27.65,1001.16
20240212_051012,27.62,1006.66
20240212_051015,27.67,1007.63
20240212_051018,27.77,1000.00
20240212_051021,27.91,1001.77
20240212_051024,27.62,1011.47
20240212_051027,27.69,1006.75
20240212_051030,27.82,1006.27
20240212_051033,27.82,1005.89
20240212_051036,27.78,1004.97
20240212_051039,27.68,1017.07
20240212_051042,27.72,1009.59
20240212_051045,27.64,1009.56
20240212_051048,27.55,1002.74
20240212_051051,27.73,1000.92
20240212_051054,27.80,1003.90
20240212_051057,27.59,1010.05
20240212_051100,27.71,1009.70
20240212_051103,27.53,1006.19
20240212_051106,27.52,1010.86
20240212_051109,27.70,1003.37
20240212_051112,27.66,1005.99
20240212_051115,27.87,1011.51
20240212_051118,27.79,1010.30
20240212_051121,27.63,1015.00
20240212_051124,27.58,999.00
20240212_051127,27.61,1005.66
20240212_051130,27.60,1007.03
20240212_051133,27.81,1000.30
20240212_051136,27.54,1010.31
20240212_051139,27.58,1011.77
20240212_051142,27.72,1006.49
20240212_051145,27.61,1016.31
20240212_051148,27.65,1014.19
20240212_051151,27.80,1010.74
20240212_051154,27.70,1008.10
20240212_051157,27.68,1011.66
20240212_051200,27.69,1003.79
20240212_051203,27.76,1008.30
20240212_051206,27.80,1005.29
20240212_051209,27.91,1002.75
20240212_051212,27.85,1015.59
20240212_051215,27.77,1006.01
20240212_051218,27.84,1008.91
20240212_051221,27.68,1011.83
20240212_051224,27.71,1004.57
20240212_051227,27.71,1012.91
20240212_051230,27.63,1010.13
20240212_051233,27.71,1005.93
20240212_051236,27.79,1006.09
20240212_051239,27.58,1008.18
20240212_051242,27.79,1005.07
20240212_051245,27.79,1014.98
20240212_051248,27.73,994.52
20240212_051251,27.75,1010.30
20240212_051254,27.66,1009.45
20240212_051257,27.49,1006.68
20240212_051300,27.64,1004.56
20240212_051303,27.58,1014.35
20240212_051306,27.73,1011.50
20240212_051309,27.77,1004.86
20240212_051312,27.43,1009.31
20240212_051315,27.61,1007.10
20240212_051318,27.64,1000.49
20240212_051321,27.76,1011.22
20240212_051324,27.81,1004.10
20240212_051327,27.93,1011.01
20240212_051330,27.64,1004.76
20240212_051333,27.84,1000.39
20240212_051336,27.56,1021.79
20240212_051339,27.63,1012.42
20240212_051342,27.65,1006.26
20240212_051345,27.74,1012.43
20240212_051348,27.64,1013.64
20240212_051351,27.72,1009.54
20240212_051354,27.68,1013.61
20240212_051357,27.78,1006.81
20240212_051400,27.95,1011.66
20240212_051403,27.82,1006.01
20240212_051406,27.95,1008.83
20240212_051409,27.75,1007.61
20240212_051412,27.73,1009.49
20240212_051415,27.77,1006.54
20240212_051418,27.59,1015.71
20240212_051421,27.70,1012.82
20240212_051424,27.80,1004.29
20240212_051427,27.77,1007.38
20240212_051430,27.67,1009.95
20240212_051433,27.72,1006.82
20240212_051436,27.90,1002.68
20240212_051439,27.85,1009.56
20240212_051442,27.56,1007.73
20240212_051445,27.71,1003.04
20240212_051448,27.76,1007.37
20240212_051451,27.59,1012.16
20240212_051454,27.87,1016.19
20240212_051457,27.77,1009.56
20240212_051500,27.78,1002.62
20240212_051503,27.84,1018.47
20240212_051506,27.67,1013.99
20240212_051509,27.86,999.39
20240212_051512,27.79,1010.63
20240212_051515,27.68,1009.85
20240212_051518,27.65,1005.10
20240212_051521,27.63,1011.22
20240212_051524,27.89,1002.04
20240212_051527,27.87,1011.45
20240212_051530,27.81,1004.69
20240212_051533,27.87,1006.56
20240212_051536,27.84,1005.68
20240212_051539,27.65,1003.31
20240212_051542,27.71,1017.29
20240212_051545,27.84,1004.64
20240212_051548,27.69,1007.48
20240212_051551,27.79,1015.25
20240212_051554,27.68,1008.12
20240212_051557,27.70,1002.29
20240212_051600,27.71,1011.76
20240212_051603,27.76,1003.15
20240212_051606,27.80,1011.30
20240212_051609,27.80,1008.71
20240212_051612,27.65,1010.33
20240212_051615,27.76,1007.71
20240212_051618,27.90,1008.57
20240212_051621,27.62,1009.33
20240212_051624,27.81,1016.87
20240212_051627,27.69,1005.27
20240212_051630,27.81,1016.05
20240212_051633,27.74,1007.22
20240212_051636,27.82,1005.03
20240212_051639,27.72,1009.47
20240212_051642,27.55,1012.02
20240212_051645,27.76,1012.20
20240212_051648,27.81,1011.22
20240212_051651,27.89,1001.17
20240212_051654,27.63,1024.25
20240212_051657,27.68,1007.78
20240212_051700,27.75,1011.12
20240212_051703,27.76,1006.01
20240212_051706,27.94,1008.96
20240212_051709,27.83,1004.16
20240212_051712,27.81,1007.15
20240212_051715,27.63,1002.56
20240212_051718,27.85,1013.06
20240212_051721,27.63,1009.96
20240212_051724,27.66,1008.28
20240212_051727,27.81,1005.49
20240212_051730,27.98,1009.85
20240212_051733,27.80,1012.56
20240212_051736,27.76,1013.04
20240212_051739,27.64,1006.09
20240212_051742,27.57,1004.49
20240212_051745,27.57,1014.43
20240212_051748,27.93,1012.17
20240212_051751,27.60,1014.61
20240212_051754,27.62,1019.27
20240212_051757,27.73,1007.97
20240212_051800,27.59,1022.38
20240212_051803,27.84,1006.06
20240212_051806,27.74,1016.13
20240212_051809,27.82,1005.05
20240212_051812,27.74,1011.38
20240212_051815,27.79,1010.22
20240212_051818,27.72,1010.81
20240212_051821,27.61,1002.15
20240212_051824,27.90,1005.35
20240212_051827,27.94,1006.07
20240212_051830,27.73,997.91
20240212_051833,27.69,1020.01
20240212_051836,27.86,1006.37
20240212_051839,27.91,1006.44
20240212_051842,27.69,1008.32
20240212_051845,27.84,1009.44
20240212_051848,27.62,1012.11
20240212_051851,27.82,1009.11
20240212_051854,27.87,1006.21
20240212_051857,27.64,1004.72
20240212_051900,27.85,1014.04
20240212_051903,27.74,1007.09
20240212_051906,27.86,1017.23
20240212_051909,27.72,999.89
20240212_051912,27.89,1017.99
20240212_051915,27.64,1011.19
20240212_051918,27.78,1008.75
20240212_051921,28.01,1004.92
20240212_051924,28.03,1012.46
20240212_051927,27.85,1002.05
20240212_051930,27.69,1007.44
20240212_051933,27.66,1002.25
20240212_051936,27.89,1015.00
20240212_051939,27.69,1011.82
20240212_051942,27.77,1007.55
20240212_051945,27.76,1001.69
20240212_051948,27.68,1012.48
20240212_051951,27.72,1013.98
20240212_051954,27.73,1002.99
20240212_051957,27.74,1008.75
